                            AFTERNOON AT THE RACE TRACK - Description of the internal state of the problem
   MAN/BRK              SPECTATOR/BETTER              HORSE/JOCKEY PAIR at RACE RN
  Stat  St0  Am0 St1  Am1 St2  Am2 St3  Am3 RN St0 Len0 St1 Len1 St2 Len2 Sr3 Len3 
  STR   WAR  100.0 WAR  100.0 WAR  100.0 WAR  100.0 0 ASL 32 ASL 22 ASL 28 ASL 49 
  STR   WAR  100.0 WAR  100.0 WAR  100.0 WAR  100.0 0 RUN 32 ASL 22 ASL 28 ASL 49 
  STR   WAR  100.0 WAR  100.0 WAR  100.0 WAR  100.0 0 RUN 32 RUN 22 ASL 28 ASL 49 
  STR   WAR  100.0 WAR  100.0 WAR  100.0 WAR  100.0 0 RUN 32 RUN 22 ASL 28 RUN 49 
  STR   WAR  100.0 WAR  100.0 WAR  100.0 WAR  100.0 0 AFL 32 RUN 22 ASL 28 RUN 49 
  STR   WAR  100.0 WAR  100.0 WAR  100.0 WAR  100.0 0 AFL 32 RUN 22 RUN 28 RUN 49 
  STR   WAR  100.0 WAR  100.0 WAR  100.0 WAR  100.0 0 AFL 32 RUN 22 RUN 28 AFL 49 
  STR   WAR  100.0 WAR  100.0 WAR  100.0 WAR  100.0 0 AFL 32 AFL 22 RUN 28 AFL 49 
  STR   WAR  100.0 WAR  100.0 WAR  100.0 WAR  100.0 0 AFL 32 AFL 22 AFL 28 AFL 49 
  STR   WAR  100.0 WAR  100.0 WAR  100.0 WAR  100.0 0 ATS 32 AFL 22 AFL 28 AFL 49 
  SAC   WAR  100.0 WAR  100.0 WAR  100.0 WAR  100.0 0 ATS 32 AFL 22 AFL 28 AFL 49 
  SAC   WAR  100.0 WAR  100.0 WAR  100.0 WAR  100.0 0 ATS 32 AFL 22 AFL 28 ATS 49 
  SAC   WAR  100.0 WAR  100.0 WAR  100.0 WAR  100.0 0 ATS 32 ATS 22 AFL 28 ATS 49 
  SAC   WAR  100.0 WAR  100.0 WAR  100.0 WAR  100.0 0 ATS 32 ATS 22 ATS 28 ATS 49 
  SAC   WAR  100.0 WAR  100.0 WAR  100.0 CTG  100.0 0 ATS 32 ATS 22 ATS 28 ATS 49 
  SAC   WAR  100.0 WAR  100.0 WAR  100.0 WRS  298.0 0 ATS 32 ATS 22 ATS 28 ATS 49 
  SAC   WAR  100.0 WAR  100.0 CTG  100.0 WRS  298.0 0 ATS 32 ATS 22 ATS 28 ATS 49 
  SAC   WAR  100.0 WAR  100.0 WRS  298.0 WRS  298.0 0 ATS 32 ATS 22 ATS 28 ATS 49 
  SAC   CTG  100.0 WAR  100.0 WRS  298.0 WRS  298.0 0 ATS 32 ATS 22 ATS 28 ATS 49 
  SAC   WRS  298.0 WAR  100.0 WRS  298.0 WRS  298.0 0 ATS 32 ATS 22 ATS 28 ATS 49 
  SAC   WRS  298.0 CTG  100.0 WRS  298.0 WRS  298.0 0 ATS 32 ATS 22 ATS 28 ATS 49 
  SAC   WRS  298.0 WRS  298.0 WRS  298.0 WRS  298.0 0 ATS 32 ATS 22 ATS 28 ATS 49 
  ANR   WRS  298.0 WRS  298.0 WRS  298.0 WRS  298.0 0 ATS 32 ATS 22 ATS 28 ATS 49 
  WFB   WRS  298.0 WRS  298.0 WRS  298.0 WRS  298.0 0 ATS 32 ATS 22 ATS 28 ATS 49 
  WFB   WRS  298.0 WRS  298.0 WRS  298.0 WRS  298.0 0 ATP 32 ATS 22 ATS 28 ATS 49 
  WFB   WRS  298.0 WRS  298.0 WRS  298.0 WRS  298.0 0 ATP 32 ATS 22 ATS 28 ATP 49 
  WFB   WRS  298.0 WRS  298.0 WRS  298.0 WRS  298.0 0 ATP 32 ATP 22 ATS 28 ATP 49 
  WFB   WRS  298.0 WRS  298.0 WRS  298.0 WRS  298.0 0 ATP 32 ATP 22 ATP 28 ATP 49 
  WFB   WRS  298.0 ATH  298.0 WRS  298.0 WRS  298.0 0 ATP 32 ATP 22 ATP 28 ATP 49 
  WFB   ATH  298.0 ATH  298.0 WRS  298.0 WRS  298.0 0 ATP 32 ATP 22 ATP 28 ATP 49 
  WFB   ATH  298.0 ATH  298.0 ATH  298.0 WRS  298.0 0 ATP 32 ATP 22 ATP 28 ATP 49 
  WFB   ATH  298.0 ATH  298.0 ATH  298.0 ATH  298.0 0 ATP 32 ATP 22 ATP 28 ATP 49 
  WFB   ATH  298.0 ATH  298.0 PAB  298.0 ATH  298.0 0 ATP 32 ATP 22 ATP 28 ATP 49 
  WFB   ATH  298.0 ATH  298.0 WAR  199.0 ATH  298.0 0 ATP 32 ATP 22 ATP 28 ATP 49 
  WFB   PAB  298.0 ATH  298.0 WAR  199.0 ATH  298.0 0 ATP 32 ATP 22 ATP 28 ATP 49 
  WFB   WAR  199.0 ATH  298.0 WAR  199.0 ATH  298.0 0 ATP 32 ATP 22 ATP 28 ATP 49 
  WFB   WAR  199.0 PAB  298.0 WAR  199.0 ATH  298.0 0 ATP 32 ATP 22 ATP 28 ATP 49 
  WFB   WAR  199.0 WAR  199.0 WAR  199.0 ATH  298.0 0 ATP 32 ATP 22 ATP 28 ATP 49 
  WFB   WAR  199.0 WAR  199.0 WAR  199.0 ATH  298.0 0 ATP 32 ATP 22 ATP 28 ASL 49 
  WFB   WAR  199.0 WAR  199.0 WAR  199.0 ATH  298.0 0 ASL 32 ATP 22 ATP 28 ASL 49 
  WFB   WAR  199.0 WAR  199.0 WAR  199.0 ATH  298.0 0 ASL 32 ATP 22 ASL 28 ASL 49 
  WFB   WAR  199.0 WAR  199.0 WAR  199.0 ATH  298.0 0 ASL 32 ASL 22 ASL 28 ASL 49 
  WFB   WAR  199.0 WAR  199.0 WAR  199.0 PAB  298.0 0 ASL 32 ASL 22 ASL 28 ASL 49 
  WFB   WAR  199.0 WAR  199.0 WAR  199.0 WAR  199.0 0 ASL 32 ASL 22 ASL 28 ASL 49 
  STR   WAR  199.0 WAR  199.0 WAR  199.0 WAR  199.0 0 ASL 32 ASL 22 ASL 28 ASL 49 
  STR   WAR  199.0 WAR  199.0 WAR  199.0 WAR  199.0 0 ASL 32 RUN 22 ASL 28 ASL 49 
  STR   WAR  199.0 WAR  199.0 WAR  199.0 WAR  199.0 0 ASL 32 RUN 22 RUN 28 ASL 49 
  STR   WAR  199.0 WAR  199.0 WAR  199.0 WAR  199.0 0 RUN 32 RUN 22 RUN 28 ASL 49 
  STR   WAR  199.0 WAR  199.0 WAR  199.0 WAR  199.0 0 RUN 32 RUN 22 RUN 28 RUN 49 
  STR   WAR  199.0 WAR  199.0 WAR  199.0 WAR  199.0 0 RUN 32 RUN 22 AFL 28 RUN 49 
  STR   WAR  199.0 WAR  199.0 WAR  199.0 WAR  199.0 0 AFL 32 RUN 22 AFL 28 RUN 49 
  STR   WAR  199.0 WAR  199.0 WAR  199.0 WAR  199.0 0 AFL 32 RUN 22 AFL 28 AFL 49 
